title,date,reference,url,calificacion,precio,contains,ciudad
Seguro Apartamento en Bello Horizonte Santa Marta,14 jun. – 18 jun.,"Conjunto residencial entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/22359080?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.90,93",207320,"5 huéspedes,1 habitación,3 camas,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Casa Paraiso,14 jun. – 18 jun.,"Apartamento entero en Taganga, Santa Marta",https://www.airbnb.com.co/rooms/42902668?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.50,10",221920,"4 huéspedes,2 habitaciones,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Apartamento con Piscina en Santa Marta!,14 jun. – 18 jun.,Apartamento entero en Gaira,https://www.airbnb.com.co/rooms/46398203?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"5.0,8",134320,"5 huéspedes,1 habitación,4 camas,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Hab. privada cerca a playa principal y aeropuerto,14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/9052656?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=ec22c60e-3085-4185-b729-1ba5e10eb59d,"4.64,153",128480,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
Cabaña en San andres Isla,14 jun. – 18 jun.,Casa de huéspedes entera en San Luis ,https://www.airbnb.com.co/rooms/17449573?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=ec22c60e-3085-4185-b729-1ba5e10eb59d,"4.73,113",197392,"2 huéspedes,Estudio,2 camas,1,5 baños,Aire acondicionado,Cocina,Wifi",San Andres
Apto. privado cerca a playa principal y aeropuerto,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/15980985?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=ec22c60e-3085-4185-b729-1ba5e10eb59d,"4.75,123",198560,"3 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
Apartamento Amoblado precio incluye 2 personas.,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/47857813?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=ec22c60e-3085-4185-b729-1ba5e10eb59d,"5.0,4",140160,"3 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado",San Andres
Posada Omi Place - Habitación Dulce sueños,14 jun. – 18 jun.,Habitación privada en San Andres Isla,https://www.airbnb.com.co/rooms/35643232?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=ec22c60e-3085-4185-b729-1ba5e10eb59d,"4.63,24",81760,"2 huéspedes,Estudio,1 cama,1 baño privado,Aire acondicionado,Wifi",San Andres
201 Hermoso apartamento San Andrés Isla,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/47702522?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=ec22c60e-3085-4185-b729-1ba5e10eb59d,"4.50,8",169360,"6 huéspedes,2 habitaciones,3 camas,1 baño,Aire acondicionado,Cocina",San Andres
Apto. privado cerca a playa principal y aeropuerto,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/32575204?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=ec22c60e-3085-4185-b729-1ba5e10eb59d,"4.86,35",177478,"2 huéspedes,1 habitación,1 cama,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
